name,Negative3_0605,NegativeSab_0905,Negative_0705,Negative_0805,Negative_1305,Negative_2504,Negcontrole_librrun,PEDI00208_Rand,PEDI00209_Rand,PEDI00210_Rand,PEDI00211_Rand,PEDI00212_Rand,PEDI00213_Rand,PEDI00214_Rand,PEDI00216_Rand,PEDI00217_Rand,PEDI00218_Rand,PEDI00221_Rand,PEDI00232_Rand,PEDI00237_Rand,PEDI00238_Rand,PEDI00239_Rand,PEDI00240_Rand,PEDI00241_Rand,PEDI00242_Rand,PEDI00243_Rand,PEDI00244_Rand,PEDI00245_Rand,PEDI00246_Rand,PEDI00247_Rand,PEDI00248_Rand,PEDI00249_Rand,PEDI00250_Rand,PEDI00251_Rand,PEDI00252_Rand,PEDI00257_Rand,PEDI00261_Rand,PEDI00264_Rand,PEDI00268_Rand,PEDI00270_Rand,PEDI01152_Rand,PEDI01153_Rand,PEDI01154_Rand,PEDI01160_Rand,PEDI01161_Rand,PEDI01162_Rand,PEDI01163_Rand,PEDI01164_Rand,PEDI01165_Rand,PEDI01167_Rand,PEDI01169_Rand,PEDI01172_Rand,PEDI01174_Rand,PEDI01178_Rand,PEDI01181_Rand,PEDI01183_Rand,PEDI01184_Rand,PEDI01185_Rand,PEDI01187_Rand,PEDI01189_Rand,PEDI01192_Rand,PEDI01193_Rand,PEDI01195_Rand,PEDI01196_Rand,PEDI01197_Rand,PEDI01198_Rand,PEDI01199_Rand,PEDI01200_Rand,PEDI01201_Rand,PEDI01202_Rand,PEDI01203_Rand,PEDI01204_Rand,PEDI01206_Rand,PEDI01207_Rand,PEDI01208_Rand,PEDI01209_Rand,PEDI01210_Rand,PEDI01212_Rand,PEDI01213_Rand,PEDI01214_Rand,PEDI01215_Rand,PEDI01216_Rand,PEDI02946_Rand,PEDI02947_Rand,PEDI02949_Rand,PEDI02951_Rand,PEDI02958_Rand,PEDI02963_Rand,PEDI02964_Rand,PEDI02966_Rand,PEDI02991_Rand,PEDI02994_Rand,PEDI02995_Rand,PEDI02999_Rand,PEDI03000_Rand,Positive_1305
Centipeda artemidis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
UMGS1623 sp900553525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,95,0,22,0,28,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,109
CAG-485 sp900555915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,41,0,41,0,0,36,0,0,114,127,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187
CAG-115 sp003531585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,17,0,75,0,25,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Eubacterium_R sp900764665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,34,0,13,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
UBA7102 sp900760085,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,14,0,0,0,0,0,0,0,24,0,0,0,15,0,0,0,0,0,0,0,189,0,0,0,12,0,168,0,0,0,0,0,14,1032,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,12,0,1946
UMGS1418 sp900551595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,660,0,0,0,17,0,35,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,30
Senegalimassilia sp900550055,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3269,0,0,0,0,0,0,0,568,0,0,0,60,0,0,0,0,0,0,0,142,0,215,0,818,0,1147,14,21,903,0,0,1560,109,0,0,112,81,0,0,0,148,0,2789,0,61,0,197,0,0,0,0,0,0,0,24,0,40,0,0,29,0,42,12,24,85,0,0,0,0,22,0,0,0,0,0,22,2162,0,5349
TM7x sp900555885,0,0,0,0,0,0,0,0,0,0,0,6890,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,11,0,46,132,0,0,0,32,0,0,0,14,0,128,0,0,0,0,0,0,0,0,0,0,0,0,22,0,16,0,0,0,0,0,0,17,3030,0,0,15,31,97,41,0,54,22,0,93,0,0,327,0,0,0,14,19,0,0,0,0,0,0,0,0,41
UMGS1519 sp900552585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,16,0,0,0,0,0,0,10,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Megasphaera sp002319965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,21,0,59,0,0,0,0,0,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Turicibacter sanguinis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,34,0,0,74,0,0,0,24,0,18,0,0,0,0,0,38,98,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
UBA1691 sp900549825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,13,0,72,250,0,33,0,23,0,31,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,500
CAG-822 sp900546055,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,16,0,0,0,0,84,0,26,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Lacticaseibacillus rhamnosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,45,0,0,28,0,0,0,64,0,0,0,0,0,1985,0,823,0,0,0,31,0,0,0,0,323,0,0,0,16,0,0,0,0,0,0,0,0,0,19,0,0,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,1010,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
CAG-269 sp003525075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1516,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,122,0,59,0,692,0,142,0,0,0,0,0,507,0,0,0,27,0,0,0,0,0,0,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,21,882,25,0,0,0,0,0,0,0,0,0,0,0,28,0,31
HGM10836 sp900772095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86783,27,0,0,0,0,0,10,524,0,0,0,0,774,0,0,0,20,0,0,183,0,163,0,51093,28,11058,283,0,105968,0,0,12676,0,0,0,56,0,0,0,0,201,0,14021,0,1816,0,0,0,0,0,213,0,67,0,44,0,79,0,0,0,0,0,0,155,67,15,0,0,0,92,0,0,0,0,0,0,836,0,17
VUNA01 sp002299625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,17,0,0,0,0,0,0,56,0,13,0,0,0,0,0,17,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,12,0,0,0,0,48
Muricomes fissicatena_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889,0,0,0,0,0,0,0,19,0,0,0,0,102,0,0,0,82,0,0,51611,0,832,27,448,0,333,0,0,14,0,0,520,0,0,0,26,12,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,28,0,420
Granulicatella sp900551535,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,857,0,0,0,0,20,0,0,0,56,0,0,682,0,993,0,1739,10,149,17,0,0,0,0,51,23,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,35,0,95
TF01-11 sp900759665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,12,55,0,0,0,0,0,0,43,0,21,0,28,0,176,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,21,0,246
Schleiferilactobacillus harbinensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dialister sp900541485,0,0,0,0,0,0,0,0,0,0,0,336,32,0,0,0,71,10,0,0,0,0,0,1259,0,571,20,180,0,7980,0,0,0,877,0,0,197,198,23,263,76052,0,10610,0,19,16,1836,0,18,215,20,0,1806,231,0,0,128,9305,113,35,0,16,0,936,43,0,20,0,0,4928,0,47,0,1425,0,356,6017,46,0,0,0,151,23,680,90,0,1403,955,0,0,961,0,1564,61,0,34
Phascolarctobacterium sp900545535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,109,0,0,4400,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,2742
UBA5905 sp004558485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Anaerococcus lactolyticus,0,0,0,0,0,0,0,0,0,0,0,1098,0,0,0,0,17,0,0,0,0,12,0,33,0,225,15,380,40,7337,0,0,0,177563,38,0,166,90,57,13,4555,27,1298,12,420,0,461,0,0,12,18,0,150,713,0,0,0,325,0,82,0,0,0,98,0,0,474,465,0,979,0,0,52,366,0,14,1019,0,12,0,0,10104,31,497,0,0,75,1053,0,0,152,0,1022,0,0,0
Pantoea eucalypti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,10,0,0,0,0,23,1217,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Dorea_A sp900550865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6247,0,0,0,0,0,0,0,0,0,0,0,0,1464,0,0,0,0,0,0,3501,0,1051,0,90,21,2042,0,0,25,17,0,12163,0,0,0,39,37,0,0,0,0,0,264,0,0,0,0,0,161,0,0,0,21,0,0,24,81,0,0,94,0,71,20,0,62,0,0,0,0,0,0,0,0,0,0,0,100,0,6048
Clostridium sp900539375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,18,0,0,61,0,10,0,182,0,13,0,0,0,0,0,23,202,0,0,22,0,0,0,0,0,0,82,0,0,0,0,0,95,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Phocaeicola sp902388365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435,0,0,0,0,0,0,0,30,0,0,0,0,32,0,0,0,60,34,0,1568,0,874,13,5392,0,7980,0,0,4073,0,0,4980,247,0,0,56,22,0,0,0,10,0,7149,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,39,0,74,0,16,668,0,0,0,0,70,0,0,0,0,0,16,14,0,4284
Ruminococcus_D sp900539835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,10,0,0,60,0,23,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
HGM12587 sp900766915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2551,0,0,0,0,0,0,0,7788,0,0,0,17,93,0,0,0,36,0,0,5468,0,251,17,228,0,636,0,0,16,0,0,380,0,0,0,0,13,0,0,0,11,0,18,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,388,0,0,0,0,12,0,0,0,0,0,0,0,0,1018
Niameybacter sp900549765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,14,0,0,0,0,18,0,0,0,0,0,0,18,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Massilicoli timonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,13,0,0,0,0,10,0,0,0,0,0,0,273,0,13,0,30,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
Bifidobacterium catenulatum,0,0,0,0,0,0,0,0,10,0,277,42,0,27,360,0,6548,26,0,0,0,0,0,368,2229,37,0,0,6334,0,0,0,0,21,335,90,44,0,7608,226,584,17,1134,34,15,31127,28,10,1657,0,0,22,389,0,0,0,0,1166,0,698,0,5934,3611,14796,0,10,0,21,0,578,0,1457,545,817,0,0,36,0,677,10,796,9493,140,74,0,33,202,0,0,0,0,20,29,22471,0,935
Clostridium_P mediterraneense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,22,0,0,10,0,16,0,158,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Streptococcus sp000411475,0,0,0,0,0,0,0,17,0,0,0,554,0,0,0,0,609,0,0,0,0,0,0,0,220,0,0,0,15,28,0,0,0,0,443,0,373,0,8347,0,1274,0,223,1112,141,185,0,0,69,65,0,0,144,28,0,0,0,0,0,232,0,92,0,0,0,0,0,0,0,0,0,16,0,0,0,0,74,0,0,0,0,281,0,0,0,0,0,0,0,0,42,0,0,229,0,265
Corynebacterium amycolatum_A,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,30,54,0,0,0,0,0,0,0,39,12,0,143,31,193,0,0,0,0,19,0,2341,0,0,0,31,60,802,0,60,13,724,0,0,78,0,0,62,0,0,0,0,33,0,135,0,0,0,0,0,0,0,0,0,21,0,11,714,0,16,54,41,0,0,21,0,19,0,18,0,0,30,1065,0,38,0,0,16,0,0,0
UMGS1907 sp900556165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,57,0,19,0,0,0,31,0,0,0,14,0,0,0,0,0,0,0,0,0,0,911,0,15,259,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnesiella sp003150885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,764,0,0,0,66,0,152,0,0,28,0,0,210,23,0,0,0,0,0,0,0,48,0,591,0,0,17,0,0,0,0,468,0,73,0,0,0,16,0,0,0,0,0,0,0,715,0,0,0,0,0,0,0,0,0,0,0,0,0,1161
Zag1 sp001765415,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
