name,Negative_0705,Negative_0805,Negative_1305,Negative_2504,Negative3_0605,NegativeSab_0905,Negcontrole_librrun,PEDI00208_Rand,PEDI00209_Rand,PEDI00210_Rand,PEDI00211_Rand,PEDI00212_Rand,PEDI00213_Rand,PEDI00214_Rand,PEDI00216_Rand,PEDI00217_Rand,PEDI00218_Rand,PEDI00221_Rand,PEDI00232_Rand,PEDI00237_Rand,PEDI00238_Rand,PEDI00239_Rand,PEDI00240_Rand,PEDI00241_Rand,PEDI00242_Rand,PEDI00243_Rand,PEDI00244_Rand,PEDI00245_Rand,PEDI00246_Rand,PEDI00247_Rand,PEDI00248_Rand,PEDI00249_Rand,PEDI00250_Rand,PEDI00251_Rand,PEDI00252_Rand,PEDI00257_Rand,PEDI00261_Rand,PEDI00264_Rand,PEDI00268_Rand,PEDI00270_Rand,PEDI01152_Rand,PEDI01153_Rand,PEDI01154_Rand,PEDI01160_Rand,PEDI01161_Rand,PEDI01162_Rand,PEDI01163_Rand,PEDI01164_Rand,PEDI01165_Rand,PEDI01167_Rand,PEDI01169_Rand,PEDI01172_Rand,PEDI01174_Rand,PEDI01178_Rand,PEDI01181_Rand,PEDI01183_Rand,PEDI01184_Rand,PEDI01185_Rand,PEDI01187_Rand,PEDI01189_Rand,PEDI01192_Rand,PEDI01193_Rand,PEDI01195_Rand,PEDI01196_Rand,PEDI01197_Rand,PEDI01198_Rand,PEDI01199_Rand,PEDI01200_Rand,PEDI01201_Rand,PEDI01202_Rand,PEDI01203_Rand,PEDI01204_Rand,PEDI01206_Rand,PEDI01207_Rand,PEDI01208_Rand,PEDI01209_Rand,PEDI01210_Rand,PEDI01212_Rand,PEDI01213_Rand,PEDI01214_Rand,PEDI01215_Rand,PEDI01216_Rand,PEDI02946_Rand,PEDI02947_Rand,PEDI02949_Rand,PEDI02951_Rand,PEDI02958_Rand,PEDI02963_Rand,PEDI02964_Rand,PEDI02966_Rand,PEDI02991_Rand,PEDI02994_Rand,PEDI02995_Rand,PEDI02999_Rand,PEDI03000_Rand,Positive_1305
Aggregatibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,16,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,14,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neofamilia,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,14,0,0,0,0,0,29,0,23,31,0,0,107,78,3443,0,0,0,2751,158,0,458,20,80,12,3320,40,1821,17,343,13,118,0,0,0,34,0,374,502,0,0,0,472,0,156,12,0,0,49,0,0,56,0,0,708,0,0,30,171,0,13,848,0,0,0,0,305,189,132,0,0,135,327,0,0,116,0,156,0,0,0
UBA11512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,18,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
UMGS1477,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,18,0,0,17,0,0,0,96,0,80,0,0,15,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,11,0,59
Caulobacter,0,0,0,0,0,0,0,0,0,0,10,255,0,10,0,0,0,0,0,0,0,0,0,0,377,0,0,12,0,15,0,65,0,25,12,0,182,0,77,0,47,0,67,105,78,11,0,0,83,10380,0,0,17,25,0,0,0,13,0,790,0,0,38,0,0,0,0,0,0,18,0,30,0,0,0,0,0,0,26,12,0,44,13,0,12,10,15,0,0,0,19,0,0,86,0,0
Eubacterium,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,85,1046,0,0,0,0,0,0,10,197,0,0,27,12,245,0,0,0,428,0,0,227523,0,165,0,452,0,661,10,37,14,11,0,202,1288,0,0,38,19,0,0,0,13,0,785,0,0,159,27,0,0,0,0,0,51,0,118,0,0,0,0,86,0,0,0,141,164,29,33,0,0,0,38,0,0,42,35,159,12,0,1447
UMGS1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,99,0,95,0,40,0,16,0,0,0,0,0,26,19,0,0,0,0,0,0,0,16,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,10,0,109
UMGS1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,19,0,10,0,13,0,16,0,0,0,0,0,36,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
CAG-521,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,27,0,0,0,0,0,0,0,87,0,0,0,0,14,0,0,0,27,45,0,104,0,23,0,65,0,18,85,24,1064,0,0,213,3918,0,0,0,21,0,0,0,10,0,196,0,0,0,0,0,0,0,139,0,14,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,14,0,17
SFEL01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,14,0,0,1172,0,254,0,60,0,41,0,0,0,0,0,35,0,0,0,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,948
UMGS1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,10,0,0,0,0,186,0,0,0,73,0,0,18213,0,17,0,384,0,175,0,0,12,0,0,208,824,0,0,0,0,0,0,0,0,0,251,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,1638,0,0,0,0,0,0,0,0,11,0,0,0,0,2708
CAG-914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,10,0,0,25,0,0,0,17,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG-917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ureaplasma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,50,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,8035,29,17,0,0,0,66,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosakonia,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,57,0,0,0,0,0,0,0,582,0,0,0,0,0,0,0,0,0,11,0,0,0,16,0,150,0,150,33,0,244,0,0,243,595,0,0,0,0,0,0,0,0,0,209,0,85,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA2856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,14,0,0,240,0,18,0,31,0,578,0,0,12,0,0,23,214,0,0,15,0,0,0,0,0,0,442,0,18,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,116
43-108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,11,29,0,3656,0,0,0,531,0,161,0,0,336,0,0,575,21,0,0,0,0,0,0,0,50,0,114,0,0,0,0,0,0,0,47,0,53,0,0,0,0,0,0,0,0,38,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,858
UMGS1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1474,0,0,0,0,0,0,0,18,0,0,0,0,58,0,0,0,143,0,0,907,0,3309,0,2379,0,1697,0,0,0,0,0,1094,255,0,0,13,0,0,0,0,24,0,638,0,0,0,17,0,0,0,0,0,0,0,20,10,0,0,0,0,0,26,0,0,2554,0,0,0,0,0,0,0,0,0,0,0,0,0,979
Tidjanibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1335,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,21,0,0,205,0,0,0,13,0,43,0,0,0,0,0,34,45,0,0,0,0,0,0,0,11,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13112
Flavonifractor,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,58,53287,32,0,0,33,0,0,31,33,14,0,0,13,1789,0,0,0,10330,0,77,60781,20,118336,814,21571,13,29749,14,109,89,137,0,48177,784,0,0,1030,1084,0,0,0,13,0,10744,23,59,15,594,0,130,0,0,0,261,0,601,409,293,45,0,842,0,1131,0,595,26673,121,13,291,50,849,0,0,0,12,0,88,513,0,10700
Intestinimonas,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,3022,17,0,0,0,0,0,0,64,0,0,0,0,196,0,0,0,155,0,0,3505,0,3794,13,1982,0,1801,0,0,39,0,0,4632,914,0,0,355,66,0,0,0,47,0,623,0,0,0,23,0,26,0,0,0,21,0,21,0,17,0,0,15,0,49,0,0,2429,13,0,0,0,20,0,0,0,16,0,0,182,0,3637
Caecibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,0,0,0,0,0,0,0,24,0,0,0,0,20736,0,0,0,42,20,0,485,0,47,150,137,0,108,13,0,0,173,0,528,77,0,0,0,12,0,0,0,13,0,166,0,196,0,0,0,0,0,0,0,70,0,116,13,0,0,0,14,0,13,0,15,62,202,0,30,0,22,22,0,0,10,0,116,49,0,26
Marseille-P4683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,0,0,0,0,0,0,0,5139,0,0,0,0,64,0,0,0,20,0,0,6136,0,482,0,259,0,245,0,0,69,0,0,100,0,0,0,0,10,0,0,0,13,0,90,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,919
UBA1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,162,0,0,0,2049,0,42,0,0,0,0,0,33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
Planococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUG14107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,3166,0,71,0,231,0,107,0,0,319,0,0,67,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,233
CAG-452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,10,0,10,0,0,0,0,0,39,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
Afipia,0,103,60,0,34,48,0,50,0,55,173,4086,59,125,0,60,115,60,0,0,504,203,60,122,6650,167,99,239,308,361,42,1813,0,769,433,49,3730,39,1271,17,925,165,1431,2503,1787,313,69,20,1093,166242,24,0,380,645,0,15,0,515,25,15464,210,210,1000,102,10,33,11,117,28,270,180,716,45,127,17,69,142,30,79,27,73,344,441,221,283,291,298,324,87,75,155,40,47,1285,0,28
CABMKH01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,26,0,0,0,0,82,0,0,0,50,0,0,15,0,0,0,60,0,49,0,0,0,15,0,19,46,0,0,0,20,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,0,12,0,0,18,0,0,0,0,0
Lactiplantibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,4141,0,0,0,0,0,0,0,0,0,0,0,308,0,61,0,20,0,0,0,0,0,0,0,12,50,0,0,0,0,0,0,0,0,0,103,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Bittarella,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1914,0,0,0,0,0,0,0,570,0,0,0,0,51,0,0,0,35,0,0,17204,0,174,0,249,0,148,10,0,22,0,0,313,950,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,0,0,0,0,0,0,0,0,0,0,0,82,0,872
Eggerthella,0,0,0,0,0,0,0,11,0,0,19,15,0,0,0,247,3313,13,0,0,102,0,0,63,895,11,0,27,137,3994,52,0,0,3272,24,308,247684,0,10988,715,1615,0,3384,36,0,1393,18,0,5310,1647,0,0,115,456,0,0,0,32,0,2239,19,466,70,206,0,47,0,0,0,100,0,123,48,14,0,130,21,0,58,0,42,10885,0,53,11,18,15,36,0,0,14,12,78,1692,0,900
CAG-460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,485,0,0,0,0,24,0,0,0,69,0,0,962,0,15,0,279,0,57,0,0,17,14,0,377,0,0,0,0,11,0,0,0,11,0,29,0,0,43,0,0,0,0,41,0,0,0,0,0,0,0,0,20,0,0,0,0,66,0,0,0,0,0,0,0,0,30,0,0,0,0,326
UMGS1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,33893,0,0,0,0,0,0,0,55,0,0,0,51,5805,0,0,0,126,0,0,44124,0,1580,23,529,0,983,0,0,77,0,0,3334,0,0,0,11,4034,0,0,0,37,0,186,0,0,22,19,0,202,0,0,0,0,0,0,117,29,0,0,73,0,64,0,0,1445,14,0,0,0,14,0,0,0,66,0,30,31,0,5642
Frisingicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,73,0,0,0,13,62,0,0,0,110,22,0,2828,0,394,13,275,0,127,0,0,122,0,0,279,19,0,0,0,19,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,238,0,0,0,0,0,0,0,0,0,0,16,33,0,697
UMGS1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,561,0,0,0,0,0,0,0,92,0,0,0,0,74,0,0,0,28,0,0,640,0,922,0,332,0,142,0,0,29,0,0,525,25,0,0,0,0,0,0,0,17,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,10,0,723
Lactobacillus,0,0,0,0,0,0,0,0,12,0,2008,1920,35,50,429,0,1454,0,0,0,0,197,0,0,6282,710,0,0,7653,285,0,0,0,1111,8548,0,7446,0,649,0,1057,0,280,209,15,11796,25,83,437,222,0,0,115,53,0,0,0,131,0,1295,0,52,19297,24,0,0,0,99,0,416,0,81,0,24,0,227,214,0,24,0,20,307,0,0,0,12,36,31,0,0,68,0,72,482,0,312
CAG-353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,0,0,0,0,0,0,0,26,0,0,0,0,18,0,0,0,22,0,0,310,0,198,0,132,0,31,0,0,0,0,0,489,76,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,13,0,1498
UBA9502,0,0,0,0,0,0,0,0,0,14,0,0,0,0,11,0,40263,0,0,0,0,0,0,15,96,0,0,0,45,980,0,0,0,1237,0,19,18705,0,9898,50,15861,34,5465,0,28,1023,28,0,35675,377,0,0,381,125,0,0,0,159,0,1395,0,146,182,61,0,245,0,0,0,336,0,41,97,133,0,0,178,0,943,21,121,16190,21,0,0,0,13,27,0,0,59,0,27,212,0,36388
UBA9506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,15,0,15,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
QAKW01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,30,0,12,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
CAG-417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,14,0,0,399,0,0,0,0,0,77,0,0,36,0,0,135,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
QAKD01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,22,0,0,0,0,25,0,0,0,0,0,0,164,0,0,0,24,0,27,0,0,0,0,0,23,293,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
UMGS1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,53,0,0,0,0,11,0,0,0,0,0,0,393,0,0,0,16,0,15,0,11,0,0,0,12,879,0,0,0,0,0,0,0,0,0,44,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,173
Schleiferilactobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akkermansia,0,0,0,0,0,0,0,0,0,126,0,46,0,136,0,288,155,24,0,0,292,0,0,0,115,0,0,21,0,0,0,12,0,29,0,0,166,0,33,0,60,0,134,17,22,230,0,0,81465,3308,0,0,684,4849,0,0,0,20,0,32791,0,28,451,0,0,0,60,776,0,11,0,30,0,0,67,0,1727,0,12,0,0,332,0,0,55,0,220,0,0,0,0,0,611,44,0,14270
CAG-594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,42,0,0,0,0,28,0,0,0,76,0,0,67,0,15,0,12,0,10,0,0,0,0,0,22,15,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,10,0,0,25,0,0,0,0,0
Parvimonas,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,11,73,0,0,0,0,14,0,32,40,10,0,67,92,544,0,0,0,1646,63,12,1392,0,48,12,2922,11,1128,33,210,0,201,0,71,42,34,0,470,90,0,0,0,220,0,95,0,103,111,77,0,0,24,96,0,647,0,0,41,70,0,20,1031,0,12,14,104,578,281,75,16,31,125,216,0,0,367,0,187,16,0,55
Eikenella,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,192,0,0,0,0,0,0,0,39,0,0,0,79,0,14,18,0,0,0,0,20,2695,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
